meta_category,report_text,severity_output,rationale_output,official_source,official_hazard_type,official_severity_hint,official_distance_km,official_minutes_ago,official_summary,prior_suburb,prior_text,prior_minutes_ago
related_report,"Same here, water's over the path on our stretch too.",medium,"Two independent reports of water over the footpath in the same area corroborate a real, moderate coastal/flooding concern.",,,,,,,Petone,Water's come up over the footpath near the beach.,20
related_report,Similar sign's gone up on the road just above ours.,medium,"Two independent reports of new landslide warning signage in the same area suggest a real, developing precaution — moderate severity.",,,,,,,Wainuiomata,Landslide warning sign has appeared on our road overnight.,20
related_report,"Another line down a block over, also blocking the road.",high,"Independent reports of downed power lines blocking roads in the same area indicate a genuine, dangerous hazard — high severity.",,,,,,,Masterton,Strong wind's brought a power line down across the road.,20
related_report,Smelled the same thing near the shops just now too.,high,"Two independent reports of the same gas smell near a public area corroborate a real, if not yet located, concern — high severity.",,,,,,,Ngaio,"Small gas smell near the shops, hard to place exactly where.",20
related_report,Similar cracking noticed on the court fence posts too.,low,"Two independent reports describe minor, likely age-related wear — corroboration confirms it but doesn't raise severity.",,,,,,,Khandallah,"Bit of surface cracking on the tennis court, probably just old concrete.",20
related_report,"Heard the same crash, sounded like it came from that direction too.",low,"Two independent reports agree on hearing the same sound, but neither describes any actual damage or danger — low severity.",,,,,,,Karori,"Loud crash sound from a neighbour's property, not sure what fell.",20
related_report,Similar-looking damage on a garage two houses down.,high,"Independent reports of structural damage to two separate garages nearby indicate a real, more serious pattern — high severity.",,,,,,,Brooklyn,"Someone's garage roof partly caved in, looked structural.",20
related_report,"Same pooling here, a bit worse now near the tunnel.",medium,"Two independent reports of worsening water pooling near a key route corroborate a real, moderate concern.",,,,,,,Mount Victoria,Bit of surface water pooling near the tunnel entrance.,20
related_report,"Same alarm still going, still nothing visible from outside.",low,"Two independent reports agree no smoke or fire is actually visible despite the prolonged alarm — likely a false alarm, low severity.",,,,,,,Thorndon,"Building's fire alarm has been going for ten minutes, no visible smoke.",20
related_report,"Small amount of graffiti appeared on the community hall overnight, unrelated I think.",low,"The prior report describes unrelated minor debris, and this new report describes an unrelated minor issue — no genuine corroboration between the two, low severity for this report on its own.",,,,,,,Miramar,Bit of debris on the road from someone's roof.,20
related_report,Similar burst pipe reported two streets away too.,high,"Independent reports of burst water infrastructure in two nearby locations suggest a wider, more serious problem — high severity.",,,,,,,Wadestown,"Water main's burst, spraying across the road.",20
related_report,"Someone's cat went missing from the same street, probably unrelated.",low,"The prior report describes an unrelated, minor felt event, and this new report describes an unrelated pet issue — no genuine corroboration, low severity for this report on its own.",,,,,,,Roseneath,"A bit of a wobble felt, nothing fell over.",20
related_report,"Similar slip further along the same track, also partial blockage.",medium,"Two independent reports of slips along the same track corroborate a real, developing but contained hazard — moderate severity.",,,,,,,Hataitai,Small slip has partially blocked the walking track.,20
related_report,"Someone reported a lost dog in the area, probably unrelated to the construction noise.",low,"The prior report describes an unrelated, explained noise source, and this new report is about something else entirely — no genuine corroboration, low severity for this report on its own.",,,,,,,Vogeltown,Bit of noise and shaking from construction work nearby.,20
related_report,Similar buckling seen further down the same footpath.,medium,"Two independent reports of footpath buckling in the same area corroborate a real, if contained, ground-movement concern — moderate severity.",,,,,,,Berhampore,Footpath's buckled slightly near the shops.,20
related_report,"Smoke's now visible from our place too, looks like it's spreading.",high,Independent reports describing spreading smoke from the same reserve corroborate a real and worsening fire risk — high severity.,,,,,,,Highbury,"Smoke seen rising from the reserve, no flames visible yet.",20
no_location,Can't say exactly where I am but something's not right here.,low,"No location was given, so official context is excluded —low severity based on the vague description.",,,,,,,,,
no_location,"Not giving my address, just want someone to know there's smoke nearby.",high,"No location was given, so official context is excluded — a smoke report is treated as high priority based on the description alone, regardless of missing location.",,,,,,,,,
no_location,"Prefer not to share where I am, but wanted to report some noise.",low,"No location was given, so official context is excluded — a vague noise report alone is low severity.",,,,,,,,,
no_location,"Somewhere in the hills, ground felt like it moved a little.",low,"No location was given, so official context is excluded — a mild, uncertain description with no concrete impact is low severity.",,,,,,,,,
no_location,"Won't say exactly where, but there's been a small fire, already out.",medium,"No location was given, so official context is excluded — a fire report, even resolved, is treated with moderate caution based on the description alone.",,,,,,,,,
no_location,"Not comfortable sharing location, just checking if anyone else felt that shake.",low,"No location was given, so official context is excluded — a request to confirm a felt shake, without described damage, is low severity.",,,,,,,,,
no_location,"Somewhere near the water, waves seem higher than normal.",medium,"No location was given, so official context is excluded — an unusual coastal observation is treated with moderate caution based on the description alone.",,,,,,,,,
no_location,"Rather not say where, but a tree's come down near us.",low,"No location was given, so official context is excluded — a described fallen tree without precise location is low severity.",,,,,,,,,
no_location,"Not sharing my location, just flagging some flickering power.",low,"No location was given, so official context is excluded — a brief power flicker alone is low severity.",,,,,,,,,
no_location,"Somewhere in town, there's a strong smell of gas.",high,"No location was given, so official context is excluded — a strong gas smell is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Not saying exactly where, but it's pretty windy and stuff's flying around.",low,"No location was given, so official context is excluded — described wind-blown debris is low severity.",,,,,,,,,
no_location,"Won't share my address, just want to report a loud bang I heard.",low,"No location was given, so official context is excluded — an unexplained loud bang is low severity. ",,,,,,,,,
no_location,"Not comfortable giving details, but something feels off tonight.",low,"No location was given, so official context is excluded — a vague, non-specific concern is low severity.",,,,,,,,,
no_location,"Rather stay anonymous, but there's flooding somewhere near me.",medium,"No location was given, so official context is excluded — a described flooding event is moderate severity based on the report alone.",,,,,,,,,
no_location,"Not giving my location, just want to flag a possible small slip.",low,"No location was given, so official context is excluded — a possible, unconfirmed small slip is low severity.",,,,,,,,,
no_location,"Somewhere in the suburbs, whole street's power just went out.",medium,"No location was given, so official context is excluded — a whole-street outage is concrete enough for moderate severity even without a precise location.",,,,,,,,,
no_location,"Not sharing where, but a car's crashed into a power pole near me.",high,"No location was given, so official context is excluded — a crash into a power pole is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Won't say where I am, but there's a weird vibration through the ground.",low,"No location was given, so official context is excluded — a vague physical sensation alone is low severity.",,,,,,,,,
no_location,"Not comfortable with location sharing, but wanted to report a small kitchen fire, already out.",low,"No location was given, so official context is excluded — a resolved fire report is low severity.",,,,,,,,,
no_location,"Somewhere nearby, a retaining wall's come down.",high,"No location was given, so official context is excluded — a collapsed retaining wall is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Rather stay anonymous, just flagging a strong smell near where I am.",low,"No location was given, so official context is excluded — a described strong, unidentified smell is low severity.",,,,,,,,,
no_location,"Not sharing where, but there's a lot of smoke visible from here.",high,"No location was given, so official context is excluded — visible smoke is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Not comfortable sharing, but a fence has come down near us.",low,"No location was given, so official context is excluded — a single fence coming down alone is low severity.",,,,,,,,,
no_location,"Rather not say, but there's a lot of surface water where I am right now.",medium,"No location was given, so official context is excluded — described surface water is moderate severity based on the report alone.",,,,,,,,,
no_location,"Rather not give details, just checking if this rain is meant to get worse.",low,"No location was given, but MetService's relevance doesn't depend on it — low severity as no impacts reported. ",metservice,severe_weather,medium,,25,"Heavy Rain Warning, Wellington region",,,
no_location,"Not saying where I am, just noticed the wind's really picked up.",low,"No location was given, but MetService's relevance doesn't depend on it — low severity as no impacts reported. ",metservice,severe_weather,medium,,15,"Severe Wind Warning, Wellington region",,,
no_location,"Won't share location, but wondering if the hail warning is for real.",low,"No location was given, but MetService's relevance doesn't depend on it — only a low-level watch is active, and the report describes nothing concrete, low severity.",metservice,severe_weather,low,,40,"Strong Wind Watch, Wellington region",,,
no_location,"Not giving details, but is the coastal warning something to worry about?",low,"No location was given, but MetService's relevance doesn't depend on it — low severity as no impacts reported. ",metservice,severe_weather,high,,10,"Red Warning: Severe Coastal Inundation, Wellington south coast",,,
no_location,"Won't give my location, just want to know if the wind warning still applies.",low,"No location was given, but MetService's relevance doesn't depend on it — low severity as no impacts reported. ",metservice,severe_weather,low,,48,"Strong Wind Watch, Wellington region",,,
no_location,"Not giving details, just want someone to check on the severe weather situation.",low,"No location was given, but MetService's relevance doesn't depend on it — low severity as no impacts reported. ",metservice,severe_weather,medium,,33,"Severe Thunderstorm Watch, Wellington region",,,
no_context,"Bit of a leak under the kitchen sink, been dripping for a while.",low,"A minor, contained household issue with no official corroboration — low impact, no immediate danger.",,,,,,,,,
no_context,"Neighbour's alarm keeps going off every night around 2am, not sure why.",low,"An ongoing nuisance, not itself a hazard, and no official context applies.",,,,,,,,,
no_context,Big pile of rubbish has been dumped on the reserve overnight.,low,"An environmental/amenity issue, not an emergency hazard, low impact.",,,,,,,,,
no_context,There's a strong chemical smell coming from the industrial area.,medium,"A described strong chemical smell is a real concern, but without other confirming signals (no visible effect or public reaction described), moderate severity is appropriate rather than immediately escalating further.",,,,,,,,,
no_context,Small pool of oil has appeared on the road outside our house.,medium,"Concrete, described road contamination — a real, if contained, hazard worth moderate attention.",,,,,,,,,
no_context,Heard that a water tank might have failed somewhere in the area.,medium,"Secondhand, unconfirmed claim of infrastructure failure — treated with some caution pending confirmation.",,,,,,,,,
no_context,"Wifi's down across the whole building, might just be our provider.",low,"A connectivity inconvenience, not an emergency hazard, no official context applies.",,,,,,,,,
no_context,Noticed the footpath outside is unusually hot to touch today.,low,An unusual but non-damaging observation with no official corroboration — low impact.,,,,,,,,,
no_context,Big group of people gathered outside looking concerned about something.,medium,"An unexplained public gathering with visible concern is a real, if vague, signal worth moderate attention.",,,,,,,,,
no_context,"Someone's letterbox caught fire, small flames, out now.",low,"A small, already-extinguished fire is concrete but contained — low severity, consistent with how other small, resolved fire reports have been calibrated, not escalated without ongoing danger.",,,,,,,,,
official_supports,"Just a faint shiver, over before I really registered it.",low,Matches a recent nearby earthquake in official data; barely perceptible with nothing described happening — low severity.,geonet,earthquake,low,18.5,6,"M3.0 earthquake, 22km deep, near Otaki",,,
official_supports,Whole building creaked loudly but nothing came loose.,low,"Matches a recent nearby earthquake in official data, but the report directly confirms nothing came loose — the direct no-damage account overrides the moderate official hint, low severity.",geonet,earthquake,medium,4.7,12,"M4.0 earthquake, 13km deep, near Wadestown",,,
official_supports,"Light fitting came down from the ceiling, glass everywhere.",medium,Matches a recent nearby earthquake in official data; a fallen light fitting with broken glass is concrete but contained damage — moderate severity.,geonet,earthquake,medium,3.3,8,"M4.5 earthquake, 9km deep, near Kelburn",,,
official_supports,"Whole side of the house has visible new cracking, quite worried.",high,"Matches a recent, high-magnitude nearby earthquake in official data; extensive new structural cracking is significant real damage — high severity.",geonet,earthquake,high,4.9,3,"M5.6 earthquake, 11km deep, near Wellington CBD",,,
official_supports,Bit of congestion because of some barriers up ahead.,low,Matches an active minor official road event; described congestion alone is low impact.,nzta,road_hazard,low,1.3,20,"Road Work (Other): SH2 Melling, lane management",,,
official_supports,Ambulance and fire truck both on scene at a crash near us.,high,Corroborated by an active official report of serious injuries with emergency services present — clearly high severity.,nzta,road_hazard,high,0.9,4,"Crash (Multi-Vehicle): SH1 Johnsonville, serious injuries, emergency services on scene",,,
official_supports,Bit of gravel and debris scattered across one lane after the slip.,medium,Matches an active official slip report; scattered debris on one lane is concrete but contained impact — moderate severity.,nzta,road_hazard,medium,2.8,27,"Slip: SH58 Haywards Hill, partial lane obstruction",,,
official_supports,Bit breezy but nothing you'd call severe out here.,low,"Official data shows an active severe wind warning, but the report itself describes nothing severe — the described reality overrides the official hint, low severity.",metservice,severe_weather,medium,,44,"Severe Wind Warning, Wellington region",,,
official_supports,Fence post snapped clean off in the wind overnight.,low,Corroborated by an active official severe wind warning; a snapped fence post is concrete but limited property damage — low severity.,metservice,severe_weather,medium,,19,"Severe Wind Warning, Wellington region",,,
official_supports,Whole verandah's been torn off the front of the house.,high,Corroborated by an active official red wind warning naming extreme gusts; a torn-off verandah is significant structural damage — high severity.,metservice,severe_weather,high,,7,"Red Wind Warning, Wellington region, extreme gusts expected",,,
official_unrelated,"Felt something odd underfoot for a moment, hard to say what.",low,"Nearby official data is routine road work, not seismic activity — no corroboration, and with no concrete impact described, severity follows the low official signal nearby.",nzta,road_hazard,low,4.2,30,"Road Work (Other): SH2 Melling, lane management",,,
official_unrelated,"Garage door's come off its tracks, won't open properly now.",medium,"Nearby official data is an unrelated, low-level earthquake — no corroboration for the garage door, but the described mechanical damage is concrete enough on its own for moderate severity.",geonet,earthquake,low,8.9,95,"M2.8 earthquake, 19km deep, near Titahi Bay",,,
official_unrelated,Thought I smelled something odd but can't place it now.,low,"Nearby official data is a low-level wind watch, unrelated to a smell — no corroboration, and with no concrete impact described, severity stays low.",metservice,severe_weather,low,,55,"Strong Wind Watch, Wellington region",,,
official_unrelated,"Whole intersection's lights are out, cars just going through carefully.",medium,"Nearby official data is an unrelated, moderate earthquake — no corroboration for the traffic lights, but with no other impact described beyond the outage, severity follows the moderate official signal nearby, alongside the inherent caution a dark intersection warrants.",geonet,earthquake,medium,7.1,70,"M3.9 earthquake, 14km deep, near Aro Valley",,,
official_unrelated,Not sure what that noise was but the dog won't stop barking at the door.,low,"Nearby official data is routine road work, unrelated to the noise or dog's reaction — no corroboration, and with no concrete impact described, severity stays low.",nzta,road_hazard,low,6,42,"Road Work (Other): SH1 Tawa, resurfacing",,,
official_unrelated,"Whole street's internet and phones are down, not sure why.",medium,"Nearby official data is about a road closure, not a utility fault — no direct corroboration, but a whole-street connectivity outage is concrete enough for moderate severity, matching the moderate official signal nearby.",nzta,road_hazard,medium,3.6,50,"Road Closure: SH1 Ngauranga, temporary lane closure",,,
official_unrelated,"Might have felt the ground shift slightly, could be imagining it.",medium,"Nearby official data describes a serious heavy-vehicle crash with all lanes blocked, not seismic activity — no corroboration for the described shift, but with no impact of its own, severity follows the medium official signal nearby given how serious that event is.",nzta,road_hazard,high,5.4,10,"Crash (Heavy Vehicle): SH1 Aotea Quay, all lanes blocked",,,
official_unrelated,Whole row of trees along the street look like they're leaning more than before.,medium,"Nearby official data is an unrelated, low-level earthquake — no corroboration for the leaning trees, but a whole row leaning is a concrete, unusual observation worth moderate caution on its own.",geonet,earthquake,low,11.2,105,"M3.1 earthquake, 16km deep, near Plimmerton",,,
official_unrelated,"Not sure if that was thunder or something else, sky's still clear.",low,"Nearby official data is an unrelated, moderate earthquake — no corroboration for the sound, but with no concrete impact of its own, severity follows the low official signal nearby.",geonet,earthquake,medium,9.8,88,"M3.7 earthquake, 12km deep, near Grenada",,,
official_unrelated,"Bit of a smell like burning plastic near the shops, no smoke seen.",low,"Nearby official data is a low-level wind watch, unrelated to the smell — no corroboration, and with no smoke or other concrete signal seen, severity stays low.",metservice,severe_weather,low,,63,"Strong Wind Watch, Wellington region",,,
related_report,"Similar leak reported two doors down too, same time.",low,"A second independent report of a roof leak nearby corroborates a real, if contained, building issue — low severity.",,,,,,,Naenae,"Bit of a leak from the roof, dripping into the ceiling cavity.",20
related_report,"Someone posted about a lost cat in the area, seems unrelated.",low,"The prior report describes an unrelated, minor floor crack, and this new report is about something else entirely — no genuine corroboration, low severity for this report on its own.",,,,,,,Avalon,Small crack's appeared across our garage floor.,20
related_report,"Confirmed, water's pooling near the shops on our side too.",medium,"Two independent reports agree on surface flooding near the same shops — corroboration confirms a real, moderate hazard.",,,,,,,Stokes Valley,Bit of surface flooding near the local shops.,20
related_report,"Heard the same bang, still not sure what caused it.",low,"Two independent reports agree on hearing the same sound, but neither describes any actual damage — low severity.",,,,,,,Taita,"Loud bang heard from somewhere nearby, not sure what it was.",20
related_report,Same sparking line reported by someone else nearby too.,high,"Independent reports of a sparking power line corroborate a genuine, dangerous hazard — high severity.",,,,,,,Greytown,Power line's sparking near the intersection.,20
related_report,"Same hail here, checked around, nothing damaged either.",low,Two independent reports agree the hail caused no damage — corroboration confirms the event but doesn't raise severity.,,,,,,,Featherston,"Bit of hail, nothing damaged as far as we can tell.",20
related_report,Similar bulging noticed on a wall two properties along.,medium,"Two independent reports of retaining wall issues in the same area corroborate a real, developing structural concern — moderate severity.",,,,,,,Carterton,Retaining wall's bulging slightly at the base.,20
related_report,Smoke's still there and looks like it's getting bigger.,high,Independent reports describing growing smoke corroborate a real and worsening fire risk — high severity.,,,,,,,Otaki,"Smoke seen near the dunes, might be a bonfire.",20
related_report,Also seeing extra debris along our stretch of shore.,low,"Two independent reports agree on a minor, non-hazardous observation — low severity.",,,,,,,Oriental Bay,"Bit of debris floating near the shore, more than usual.",20
related_report,"Someone mentioned a footpath being repainted nearby, unrelated I think.",low,"The prior report describes an unrelated, minor and already-resolved issue, and this new report is about something else entirely — no genuine corroboration, low severity for this report on its own.",,,,,,,Whitby,"Ceiling tile fell down, no one hurt.",20
no_location,"Not sharing where, just want to flag some strange noises outside.",low,"No location was given, so official context is excluded — a vague noise report alone is low severity.",,,,,,,,,
no_location,"Rather not say, but there's visible flooding where I am.",medium,"No location was given, so official context is excluded — a described flooding observation is moderate severity based on the report alone.",,,,,,,,,
no_location,"Won't give details, but a wall's partially collapsed near me.",high,"No location was given, so official context is excluded — a partially collapsed wall is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Not comfortable sharing, just checking if the ground shaking earlier was real.",low,"No location was given, so official context is excluded — a request to confirm a felt shake, without described damage, is low severity.",,,,,,,,,
no_location,"Rather stay anonymous, but a tree's blocking the path near us.",medium,"No location was given, so official context is excluded — a described blocked path is concrete enough for moderate severity even without a precise location.",,,,,,,,,
no_location,"Not giving my location, just noticed a burning smell nearby.",low,"No location was given, so official context is excluded — a described burning smell without precise location is low severity.",,,,,,,,,
no_location,"Won't say where, but there's smoke rising not far from here.",high,"No location was given, so official context is excluded — visible rising smoke is treated as high priority based on the description alone.",,,,,,,,,
no_location,"Not sharing details, just wondering if the storm warning applies to us.",low,"No location was given, but MetService's relevance doesn't depend on it — an active severe thunderstorm watch applies as context, low severity as now impacts described.",metservice,severe_weather,medium,,38,"Severe Thunderstorm Watch, Wellington region",,,
no_location,"Rather not say where I am, just checking on the wind situation.",low,"No location was given, but MetService's relevance doesn't depend on it — only a low-level watch is active, low severity.",metservice,severe_weather,low,,52,"Strong Wind Watch, Wellington region",,,
no_location,"Won't give my location, but is the red weather warning something to act on?",low,"No location was given, but MetService's relevance doesn't depend on it — an active red coastal inundation warning applies as context, low severity as now impacts described.",metservice,severe_weather,high,,14,"Red Warning: Severe Coastal Inundation, Wellington south coast",,,
