meta_call,report_text,question_output,answer,actions_output
1_ask,Just saw a tree fallen across the road near our place in Petone.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,There's been a motorbike accident.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,"There's been creaking during a shake near Greytown, started about an hour ago. Nothing fell that I can see.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,"There's been a car crash near Strathmore, started about an hour ago. Can't tell if anyone's hurt from here.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"A wall bulging at the base in Elsdon, happened a little while ago.","Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Reporting very strong wind gusts in Berhampore.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"The house swaying in Grenada, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Just saw a sudden jolt near our place in Newlands.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
2_act,A large new pothole on our street in Greytown.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,There's a sudden drop in water pressure near Aro Valley.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,There's a whole-street power outage near Oriental Bay.,"Is this affecting just your place, or a wider area?","The whole block's out, neighbours have confirmed it too.","monitor_situation, check_neighbours"
2_act,Just noticed water over the footpath around Kapiti.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,A sudden jolt on our street in Churton Park.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,There's a strong shake near Miramar.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,There's the house swaying near Wainuiomata.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Just noticed a sharp jolt around Wadestown.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Buckled road surface on our street in Naenae.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,Just noticed a cracking sound from the hillside around Lower Hutt.,"Has anything actually come down, or is it just early signs so far?",A large section has given way and it's still moving.,"call_111, evacuate"
2_act,There's a car crash near Cannons Creek.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,An elderly neighbour not answering all day on our street in Owhiro Bay.,Do you know if anyone's been able to check on them directly yet?,"Not yet, but they usually answer, so it's just unusual.",check_neighbours
2_act,Just noticed two cars colliding around Whitby.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,There's a power line down across the road near Melling.,"Is this affecting just your place, or a wider area?","The whole block's out, neighbours have confirmed it too.","monitor_situation, check_neighbours"
2_act,Just noticed a tree fallen across the road around Oriental Bay.,"Is the road still passable, or is it fully blocked?","Still passable, cars are just going around it carefully.",document_further
2_act,Reporting roof tiles rattling loudly in the wind in Plimmerton.,"Has anything actually been damaged, or is it just noisy so far?",Part of next door's roof has come off and debris is blowing across the road.,"call_111, check_neighbours"
2_act,There's a smell like burning plastic near Brooklyn.,"Is the smell strong, and has anyone else nearby reacted to it?","Fairly mild, no one else seems to have noticed.",none
2_act,There's a smell like burning plastic near Khandallah.,"Is the smell strong, and has anyone else nearby reacted to it?","Fairly mild, no one else seems to have noticed.",none
2_act,Just noticed water coming up in the carpark around Porirua.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,Just noticed a cracking sound from the hillside around Johnsonville.,"Has anything actually come down, or is it just early signs so far?",A bit of soil and small rocks have come down already.,"monitor_situation, document_further"
2_act,Much bigger waves than normal on our street in Khandallah.,"Has this happened before that you know of, or is it new?","Not that I've seen before, but nothing else seems unusual.",monitor_situation
2_act,There's two shakes close together near Masterton.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?",Very strong — a shelf came down and there's a new crack across the wall.,"call_111, document_further"
2_act,There's two shakes close together near Porirua.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?",Very strong — a shelf came down and there's a new crack across the wall.,"call_111, document_further"
2_act,Just noticed an unusually low tide around Wadestown.,"Has this happened before that you know of, or is it new?","Not that I've seen before, but nothing else seems unusual.",monitor_situation
2_act,Reporting the ground shaking in Hataitai.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,There's water pooling on the road near Hataitai.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,Just noticed a collapsed fence panel around Johnsonville.,"Is it just cosmetic, or does it look like it might be structural?","Seems to be spreading a bit, worth keeping an eye on.","monitor_situation, document_further"
2_act,Just noticed very strong wind gusts around Otaki.,"Has anything actually been damaged, or is it just noisy so far?","Just noisy so far, nothing damaged that I can see.",none
2_act,There's smoke coming from a neighbouring property near Paparangi.,"Can you see any actual flames, or is it just smoke/smell so far?",No flames yet but the smoke's definitely getting thicker.,"call_111, check_neighbours"
2_act,Just noticed a whole-street power outage around Berhampore.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Reporting an odd water level at the wharf in Roseneath.,"Has this happened before that you know of, or is it new?","Not that I've seen before, but nothing else seems unusual.",monitor_situation
2_act,Just noticed a concerned group gathered nearby around Paraparaumu.,Do you know if anyone's been able to check on them directly yet?,Someone's with them now and they don't look well at all.,call_111
2_act,Reporting water pooling on the road in Melling.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,Reporting gale-force gusts in Linden.,"Has anything actually been damaged, or is it just noisy so far?",A few garden items have blown away and the fence is creaking badly.,"monitor_situation, document_further"
2_act,There's a strong shake near Petone.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Just noticed buckled road surface around Berhampore.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,Reporting a wall bulging at the base in Lower Hutt.,"Is it just cosmetic, or does it look like it might be structural?","Looks serious, part of the wall is visibly out of alignment now.","call_111, evacuate"
2_act,A slip that's come down onto the road on our street in Glenside.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,There's a sparking transformer near Hataitai.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Reporting trees bending right over in the wind in Lower Hutt.,"Has anything actually been damaged, or is it just noisy so far?",A few garden items have blown away and the fence is creaking badly.,"monitor_situation, document_further"
2_act,There's a slip blocking part of the walking track near Stokes Valley.,"Has anything actually come down, or is it just early signs so far?","Just early signs, nothing's actually come down yet.",monitor_situation
2_act,Nonstop heavy rain on our street in Upper Hutt.,"Is the rain causing any pooling or flooding near you, or just heavy?",Water's coming into the garage now and rising quickly.,"call_111, monitor_situation"
2_act,Reporting heavy rain that hasn't let up in Stokes Valley.,"Is the rain causing any pooling or flooding near you, or just heavy?","Just heavy so far, no pooling that I've noticed.",none
2_act,Just noticed a multi-car crash around Seatoun.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Doesn't look like anyone's hurt, just some vehicle damage, people are out and talking.",document_further
2_act,Reporting two cars colliding in Khandallah.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,There's a new crack across the driveway near Plimmerton.,"Is it just cosmetic, or does it look like it might be structural?","Seems to be spreading a bit, worth keeping an eye on.","monitor_situation, document_further"
2_act,There's gale-force gusts near Maupuia.,"Has anything actually been damaged, or is it just noisy so far?",Part of next door's roof has come off and debris is blowing across the road.,"call_111, check_neighbours"
2_act,Reporting smoke coming from a neighbouring property in Miramar.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,There's smoke rising from the reserve near Upper Hutt.,"Can you see any actual flames, or is it just smoke/smell so far?","Yes, I can see flames now, and it looks like it's spreading.","call_111, evacuate"
2_act,There's a chemical smell coming from the industrial area near Carterton.,"Is the smell strong, and has anyone else nearby reacted to it?","Fairly mild, no one else seems to have noticed.",none
2_act,Just noticed a vehicle hitting a power pole around Karori.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,Just noticed a tree fallen across the road around Stokes Valley.,"Is the road still passable, or is it fully blocked?","Completely blocked, no way through at all right now.",call_111
2_act,Just noticed a sparking transformer around Newlands.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Two shakes close together on our street in Taita.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Trees bending right over in the wind on our street in Newtown.,"Has anything actually been damaged, or is it just noisy so far?",A few garden items have blown away and the fence is creaking badly.,"monitor_situation, document_further"
2_act,There's a car crash near Eastbourne.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Doesn't look like anyone's hurt, just some vehicle damage, people are out and talking.",document_further
2_act,Reporting a tree fallen across the road in Maupuia.,"Is the road still passable, or is it fully blocked?","Completely blocked, no way through at all right now.",call_111
2_act,Just noticed water rising fast in the gutter around Titahi Bay.,"Can you tell us roughly how deep the water is, and whether it's still rising?",Knee-deep outside our house now and rising fast.,"call_111, evacuate"
2_act,Just noticed rain coming down very hard around Naenae.,"Is the rain causing any pooling or flooding near you, or just heavy?","Just heavy so far, no pooling that I've noticed.",none
2_act,Just noticed much bigger waves than normal around Island Bay.,"Has this happened before that you know of, or is it new?","Never seen anything like it, and people are still out on the beach.","call_111, evacuate"
2_act,Just noticed the ground shaking around Newlands.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Fairly strong — a couple of things fell off a shelf, nothing major broken.","monitor_situation, document_further"
2_act,Just noticed a block-wide power outage around Redwood.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Reporting something smouldering nearby in Lyall Bay.,"Can you see any actual flames, or is it just smoke/smell so far?",No flames yet but the smoke's definitely getting thicker.,"call_111, check_neighbours"
2_act,Reporting a rolling motion in Rongotai.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Fairly strong — a couple of things fell off a shelf, nothing major broken.","monitor_situation, document_further"
2_act,There's a strong gas smell near the shops near Masterton.,"Is the smell strong, and has anyone else nearby reacted to it?","Fairly mild, no one else seems to have noticed.",none
2_act,Just noticed thick smoke drifting through the street around Titahi Bay.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,Reporting a retaining wall that looks like it's leaning in Greytown.,"Is it just cosmetic, or does it look like it might be structural?","Looks pretty minor and cosmetic, not affecting anything else.",none
2_act,Just noticed a block-wide power outage around Stokes Valley.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Reporting very strong wind gusts in Ngaio.,"Has anything actually been damaged, or is it just noisy so far?","Just noisy so far, nothing damaged that I can see.",none
2_act,"An unusual, hard-to-place smell on our street in Cannons Creek.","Is the smell strong, and has anyone else nearby reacted to it?","Quite strong, a couple of people walked away holding their noses.","call_111, check_neighbours"
2_act,Just noticed water coming up in the carpark around Taita.,"Can you tell us roughly how deep the water is, and whether it's still rising?",Knee-deep outside our house now and rising fast.,"call_111, evacuate"
2_act,Reporting a rolling motion in Vogeltown.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,There's torrential rain near Redwood.,"Is the rain causing any pooling or flooding near you, or just heavy?",Starting to pool in the driveway and gutters can't keep up.,monitor_situation
2_act,Reporting much bigger waves than normal in Whitby.,"Has this happened before that you know of, or is it new?","First time I've seen it like this, seems to be changing quickly.","call_111, monitor_situation"
2_act,There's water over the footpath near Waikanae.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,Reporting a block-wide power outage in Highbury.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,There's water pooling on the road near Newlands.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,There's wind howling through the street near Greytown.,"Has anything actually been damaged, or is it just noisy so far?","Just noisy so far, nothing damaged that I can see.",none
2_act,Just noticed a burning smell with no flames visible around Hataitai.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,Reporting a sharp jolt in Carterton.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Reporting a rolling motion in Titahi Bay.,"Can you confirm roughly how strong the shaking felt, and whether anything's fallen or broken?","Fairly strong — a couple of things fell off a shelf, nothing major broken.","monitor_situation, document_further"
2_act,There's rain coming down very hard near Elsdon.,"Is the rain causing any pooling or flooding near you, or just heavy?","Just heavy so far, no pooling that I've noticed.",none
2_act,Just noticed heavy rain that hasn't let up around Southgate.,"Is the rain causing any pooling or flooding near you, or just heavy?","Just heavy so far, no pooling that I've noticed.",none
2_act,There's a sudden drop in water pressure near Petone.,"Is this affecting just your place, or a wider area?","The whole block's out, neighbours have confirmed it too.","monitor_situation, check_neighbours"
2_act,A sparking transformer on our street in Strathmore.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,Just noticed a strange visible current around Kilbirnie.,"Has this happened before that you know of, or is it new?","First time I've seen it like this, seems to be changing quickly.","call_111, monitor_situation"
2_act,Reporting someone stuck on the cliff path in Masterton.,Do you know if anyone's been able to check on them directly yet?,Someone's with them now and they don't look well at all.,call_111
2_act,There's a slip blocking part of the walking track near Oriental Bay.,"Has anything actually come down, or is it just early signs so far?","Just early signs, nothing's actually come down yet.",monitor_situation
2_act,Just noticed someone stuck on the cliff path around Porirua.,Do you know if anyone's been able to check on them directly yet?,"Not yet, but they usually answer, so it's just unusual.",check_neighbours
2_act,Reporting an elderly neighbour not answering all day in Wainuiomata.,Do you know if anyone's been able to check on them directly yet?,Someone's with them now and they don't look well at all.,call_111
2_act,A whole-street power outage on our street in Elsdon.,When did the power go out? ,About 10 minutes ago. My neighbours also lost power. ,"monitor_situation, check_neighbours"
2_act,An unusually low tide on our street in Eastbourne.,"Have you heard any unusual sounds coming from the sea, or felt any ground shaking? ",I felt the ground shake for about a minute,"call_111, evacuate"
2_act,There's debris partially blocking the road near Highbury.,"Is the road still passable, or is it fully blocked?","Still passable, cars are just going around it carefully.",document_further
2_act,Debris partially blocking the road on our street in Redwood.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,There's trees bending right over in the wind near Island Bay.,"Has anything actually been damaged, or is it just noisy so far?",Part of next door's roof has come off and debris is blowing across the road.,"call_111, check_neighbours"
2_act,Reporting nonstop heavy rain in Aro Valley.,"Is the rain causing any pooling or flooding near you, or just heavy?","Just heavy so far, no pooling that I've noticed.",none
2_act,There's power out around Crofton Downs.,"Is this affecting just your place, or a wider area?","Looks like just our place, neighbours still have power.",document_further
2_act,There's a strange visible current near Ngaio.,"Have you heard any unusual sounds coming from the sea, or felt any ground shaking? ","No, nothing else seems unusual.",monitor_situation
2_act,A gentle tremor on our street in Cannons Creek.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,A sudden jolt on our street in Owhiro Bay.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Fairly strong — a couple of things fell off a shelf, nothing major broken.","monitor_situation, document_further"
2_act,A smell like burning plastic on our street in Island Bay.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Fairly mild, I feel okay and no one else seems to have noticed.",none
2_act,Just noticed two cars colliding around Island Bay.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,There's debris partially blocking the road near Crofton Downs.,"Is the road still passable, or is it fully blocked?","Still passable, cars are just going around it carefully.",document_further
2_act,Just noticed something smouldering nearby around Avalon.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,Reporting much bigger waves than normal in Brooklyn.,"Have you heard any unusual sounds coming from the sea, or felt any ground shaking? ","First time I've seen it like this, seems to be changing quickly. It's windy but no other sounds. ","call_111, monitor_situation"
2_act,Reporting a burning smell with no flames visible in Aro Valley.,"Can you see any actual flames, or is it just smoke/smell so far?",No flames yet but the smoke's definitely getting thicker.,"call_111, check_neighbours"
2_act,A strong gas smell near the shops on our street in Porirua.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Very strong, people are leaving the area and someone said they feel dizzy.","call_111, evacuate"
2_act,There's the ground shaking near Strathmore.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Just noticed torrential rain around Johnsonville.,"Is the rain causing any pooling or flooding near you, or just heavy?",Starting to pool in the driveway and gutters can't keep up.,monitor_situation
2_act,Just noticed a new crack across the driveway around Roseneath.,"Is it just cosmetic, or does it look like it might be structural?","Looks serious, part of the wall is visibly out of alignment now.","call_111, evacuate"
2_act,A spreading damp patch on the ceiling on our street in Linden.,"Is it just cosmetic, or does it look like it might be structural?","Seems to be spreading a bit, worth keeping an eye on.","monitor_situation, document_further"
2_act,Reporting shifted ground near the retaining wall in Grenada.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ",A large section has given way and it's still moving.,"call_111, evacuate"
2_act,Just noticed windows rattling from a shake around Waikanae.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,There's water coming up in the carpark near Masterton.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,Just noticed a sudden drop in water pressure around Southgate.,"Is this affecting just your place, or a wider area?",Whole street's out and there's a downed line sparking on the road.,"call_111, evacuate"
2_act,Just noticed flooding near the local shops around Avalon.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,There's roof tiles rattling loudly in the wind near Brooklyn.,"Has anything actually been damaged, or is it just noisy so far?",A few garden items have blown away and the fence is creaking badly.,"monitor_situation, document_further"
2_act,Just noticed a strong gas smell near the shops around Taita.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Fairly mild, i feel ok.","monitor_situation, document_further"
2_act,There's the ground shaking near Aro Valley.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Fairly strong — a couple of things fell off a shelf, nothing major broken.","monitor_situation, document_further"
2_act,A strong shake on our street in Melling.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Reporting roof tiles rattling loudly in the wind in Karori.,"Has anything actually been damaged, or is it just noisy so far?",Part of next door's roof has come off and debris is blowing across the road.,"call_111, check_neighbours"
2_act,Reporting a motorbike accident in Otaki.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,Someone collapsed near the shops on our street in Vogeltown.,Do you know if anyone's been able to check on them directly yet?,Someone's with them now and they don't look well at all.,call_111
2_act,Reporting a strange visible current in Otaki.,"Have you heard any unusual sounds coming from the sea, or felt any ground shaking? ",No,monitor_situation
2_act,Just noticed roof tiles rattling loudly in the wind around Roseneath.,"Has anything actually been damaged, or is it just noisy so far?","Just noisy so far, nothing damaged that I can see.",none
2_act,There's buckled road surface near Elsdon.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,A small slip on the bank behind the house on our street in Maupuia.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ","Just early signs, nothing's actually come down yet.",monitor_situation
2_act,Just noticed an elderly neighbour not answering all day around Lyall Bay.,Do you know if anyone's been able to check on them directly yet?,"Not yet, but they usually answer, so it's just unusual.",check_neighbours
2_act,Smoke coming from a neighbouring property on our street in Melling.,"Can you see any actual flames, or is it just smoke/smell so far?",No flames yet but the smoke's definitely getting thicker.,"call_111, check_neighbours"
2_act,Flooding near the local shops on our street in Wainuiomata.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,There's a motorbike accident near Ngaio.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Doesn't look like anyone's hurt, just some vehicle damage, people are out and talking.",document_further
2_act,There's water over the footpath near Waitangirua.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,A retaining wall that looks like it's leaning on our street in Featherston.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ","Looks serious, part of the wall is visibly out of alignment now.","call_111, evacuate"
2_act,Reporting flooding near the local shops in Lyall Bay.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,There's a large new pothole near Grenada.,"Is the road still passable, or is it fully blocked?","One lane's blocked, traffic's backed up quite a bit.","monitor_situation, document_further"
2_act,A chemical smell coming from the industrial area on our street in Waitangirua.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Quite strong, i feel lightheaded. ","call_111, check_neighbours"
2_act,There's a slip that's come down onto the road near Johnsonville.,"Is the road still passable, or is it fully blocked?","Completely blocked, no way through at all right now.",call_111
2_act,Just noticed the house swaying around Avalon.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Just noticed a wall bulging at the base around Kilbirnie.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ",There are falling rocks and tipped trees,"call_111, evacuate"
2_act,A burning smell with no flames visible on our street in Strathmore.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,Just noticed gale-force gusts around Mount Victoria.,"Has anything actually been damaged, or is it just noisy so far?",A few garden items have blown away and the fence is creaking badly.,"monitor_situation, document_further"
2_act,Reporting a concerned group gathered nearby in Waikanae.,Do you know if anyone's been able to check on them directly yet?,Someone's with them now and they don't look well at all.,call_111
2_act,A chemical smell coming from the industrial area on our street in Wadestown.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Quite strong, a couple of people walked away holding their noses, but I feel okay. ","monitor_situation, check_neighbours"
2_act,There's a small slip on the bank behind the house near Newtown.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ",There are no other signs. It's not raining anymore.,monitor_situation
2_act,Reporting a vehicle hitting a power pole in Plimmerton.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,Just noticed a sudden jolt around Paraparaumu.,"Can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?","Pretty mild, just a wobble — nothing fell or broke that I can see.",none
2_act,Reporting a spreading damp patch on the ceiling in Otaki.,"Is it just cosmetic, or does it look like it might be structural?","Looks serious, part of the wall is visibly out of alignment now.","call_111, evacuate"
2_act,Reporting a sudden drop in water pressure in Upper Hutt.,"Is this affecting just your place, or a wider area?",Whole street's out and there's a downed line sparking on the road.,"call_111, evacuate"
2_act,Reporting a retaining wall that looks like it's leaning in Grenada.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ",It is raining and water is coming out of the retaining wall. ,"call_111, evacuate"
2_act,A wall bulging at the base on our street in Seatoun.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ","Seems to be spreading a bit, worth keeping an eye on.","monitor_situation, document_further"
2_act,A power line down across the road on our street in Paparangi.,Are there any obvious causes to the downed power line that you can see from a safe distance?,"Looks like just our place, neighbours still have power.",document_further
2_act,Reporting something smouldering nearby in Wainuiomata.,"Can you see any actual flames, or is it just smoke/smell so far?","Just smoke, no flames visible, and it's not getting any thicker.",monitor_situation
2_act,Reporting a large new pothole in Featherston.,"Is the road still passable, or is it fully blocked?","Still passable, cars are just going around it carefully.",document_further
2_act,There's smoke rising from the reserve near Churton Park.,"Can you see any actual flames, or is it just smoke/smell so far?",No flames yet but the smoke's definitely getting thicker.,"call_111, check_neighbours"
2_act,Just noticed a strong gas smell near the shops around Kapiti.,"How strong is the smell, and are you feeling dizzy or lightheaded?","Fairly mild, I feel okay.","monitor_situation, check_neighbours"
2_act,"Reporting an unusual, hard-to-place smell in Waikanae.",Does it smell like gas? ,"Yes, it's a very strong smell, people are leaving the area and someone said they feel dizzy.","call_111, evacuate"
2_act,Someone stuck on the cliff path on our street in Taita.,Do you know if anyone's been able to check on them directly yet?,No one's been able to reach them and it's been hours now.,"call_111, check_neighbours"
2_act,There's water coming up through a drain near Churton Park.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Only a centimetre or two, doesn't seem to be rising anymore.",none
2_act,There's water coming up through a drain near Miramar.,"Can you tell us roughly how deep the water is, and whether it's still rising?","Ankle-deep and rising slowly, cars are still getting through.","monitor_situation, check_neighbours"
2_act,Shifted ground near the retaining wall on our street in Greytown.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ","Just early signs, nothing's actually come down yet.",monitor_situation
2_act,Reporting shifted ground near the retaining wall in Seatoun.,"Is it raining in the area, is there any other signs of movement on the slope (e.g., falling rocks, water flowing out of the slope, trees tipping over)? ",A bit of soil and small rocks have come down already.,"monitor_situation, document_further"
2_act,Reporting a concerned group gathered nearby in Kapiti.,Do you know if anyone's been able to check on them directly yet?,No one's been able to reach them and it's been hours now.,"call_111, check_neighbours"
2_act,A vehicle hitting a power pole on our street in Roseneath.,"Can you tell us if anyone appears to be hurt, or if it's just vehicle damage?","Someone's limping but walking, looks like they might need a check-up.",call_111
2_act,Just noticed rain coming down very hard around Tawa.,"Is the rain causing any pooling or flooding near you, or just heavy?",Water's coming into the garage now and rising quickly.,"call_111, monitor_situation"
2_act,Reporting an elderly neighbour not answering all day in Avalon.,Do you know if anyone's been able to check on them directly yet?,No one's been able to reach them and it's been hours now.,"call_111, check_neighbours"
